health, A1
hunting, B2
injured, B1
injury, A2
jump, A2
lend, A2
magic, B1
inner, B2
June, A1
length, B1
mail, A2
innocent, B1
junior, B2
less, A2
main, A1
insect, A2
just, A1
lesson, A1
mainly, B1
inside, A2
justice, B2
let, A1
maintain, B2
insight, B2
justify, B2
letter, A1
major, A2
insist, B2
keen, B1
level, A2
majority, B2
inspire, B2
keep, A1
library, A1
make, A1
install, B2
key, A1
licence, B2
male, A2
instance, B2
keyboard, B1
lie, A1
mall, B1
instead, A2
kick, B1
man, A1
institute, B2
kid, A2
life, A1
manage, A2
institution, B2
kill, A2
lifestyle, A2
management, B1
instruction, A2
killing, B1
lift, A2
manager, A2
instructor, A2
kilometre, A1
light, A1
manner, A2
instrument, A2
kind, A1
many, A1
insurance, B2
map, A1
intelligence, B1
king, A2
like, A1
March, A1
intelligent, A2
kiss, B1
mark, A2
intend, B1
kitchen, A1
market, A1
intended, B2
knee, A2
likely, A2
marketing, B1
intense, B2
knife, A2
limit, B1
marriage, B1
intention, B1
knock, A2
limited, B2
married, A1
interest, A1
know, A1
line, A1
marry, A2
interested, A1
knowledge, A2
link, A2
mass, B2
interesting, A1
lab, A2
lion, A1
massive, B2
internal, B2
label, B1
lip, B1
master, B2
international, A2
laboratory, B1
liquid, B1
match, A1
internet, A1
labour, B2
list, A1
interpret, B2
lack, B1
listen, A1
matching, B2
interrupt, B2
lady, A2
listener, A2
material, A2
interview, A1
lake, A2
literature, B1
mathematics, A2
into, A1
lamp, A2
little, A1
maths, A2
introduce, A1
land, A1
live, A1
matter, A2
introduction, A2
landscape, B2
maximum, B2
invent, A2
language, A1
lively, B2
May, A1
invention, A2
laptop, A2
living, B1
invest, B1
large, A1
load, B2
maybe, A1
investigate, B1
largely, B2
loan, B2
me, A1
investigation, B2
last, A1
local, A1
meal, A1
investment, B2
locate, B1
mean, A1
invitation, A2
late, A1
located, B1
meaning, A1
invite, A2
later, A1
location, B1
means, B2
involve, A2
latest, B1
lock, A2
meanwhile, B1
involved, B1
laugh, A1
logical, B2
measure, B1
iron, B1
laughter, A2
lonely, B1
measurement, B2
island, A1
launch, B2
long, A1
meat, A1
issue, B1
law, A2
long-term, B2
media, A2
IT, A1
lawyer, A2
look, A1
medical, A2
lay, B1
loose, B2
medicine, A2
item, A2
layer, B1
lord, B2
medium, B1
its, A1
